,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
35,08:45,50.03,50.06,50.01,50.1,50.08,49.99,50.03,50.0,50.03,50.05,50.06,50.05,50.03,50.08,50.04,50.01,50.02,50.03,50.04,50.02,50.03,50.09,50.02,49.99,50.04,50.03,50.03,50.03
36,09:00,49.89,49.99,49.92,50.02,50.03,49.85,49.97,49.86,50.01,50.02,50.03,50.01,49.97,49.97,49.98,49.96,49.97,49.93,49.99,49.99,49.88,50.02,49.98,49.87,49.95,49.97,49.95,49.97
37,09:15,49.9,49.99,49.93,50.03,50.01,49.93,50.01,49.97,50.02,50.01,50.02,49.99,49.91,50.02,49.97,49.98,50.01,50.0,50.02,50.01,49.99,50.04,49.99,49.99,49.96,50.02,49.99,50.0
38,09:30,49.9,49.98,49.93,50.01,50.0,50.01,50.01,50.02,50.01,50.02,50.04,50.02,49.99,50.01,49.98,49.99,50.01,49.9,49.99,49.98,49.98,50.03,50.02,49.99,50.01,50.04,49.98,49.99
39,09:45,50.01,50.02,49.87,50.02,50.01,50.03,50.03,50.04,50.01,50.02,50.02,50.03,49.96,50.04,50.0,50.0,50.07,49.91,50.01,49.95,50.01,50.05,50.03,50.0,50.03,50.02,50.02,50.0
40,10:00,49.95,49.97,49.98,50.02,49.95,49.99,49.99,50.0,50.0,49.99,49.91,50.03,49.92,49.96,49.95,49.91,50.02,49.86,50.0,49.94,49.93,50.06,50.03,49.92,50.01,50.02,50.01,49.96
41,10:15,49.98,49.99,50.02,50.02,50.01,50.0,49.98,50.01,50.02,49.97,49.94,50.04,49.97,49.96,49.91,49.98,50.02,49.94,50.01,49.99,49.99,50.04,50.03,50.04,50.01,49.99,50.01,49.98
42,10:30,50.03,50.02,50.03,50.07,50.03,50.01,50.02,50.02,50.03,50.0,50.0,50.02,49.99,50.01,49.93,49.96,50.04,49.97,49.99,49.98,49.96,50.03,50.0,50.0,49.99,49.98,50.01,49.96
43,10:45,50.06,50.02,50.04,50.05,50.03,50.01,50.01,50.01,50.04,50.01,50.03,50.04,50.01,50.01,50.0,50.0,50.04,50.01,50.01,50.02,50.01,50.02,50.01,49.98,50.03,49.99,50.04,50.0
44,11:00,50.02,50.01,50.02,50.02,50.02,50.01,50.04,50.01,50.06,50.02,50.01,49.99,50.0,50.0,49.92,50.0,50.02,50.0,49.98,50.02,50.0,50.01,49.93,49.93,50.02,49.98,50.02,49.99
45,11:15,50.02,49.99,49.97,50.0,49.98,50.0,49.99,50.01,50.08,50.02,50.0,50.0,50.0,50.0,49.95,50.0,50.02,50.02,49.94,49.99,50.01,50.06,49.97,49.93,49.99,49.98,50.03,49.98
46,11:30,50.01,49.99,50.01,49.99,50.0,50.0,50.02,50.04,50.05,50.03,49.97,49.96,49.99,50.02,49.94,49.98,49.98,50.01,49.92,50.0,50.01,50.05,49.99,49.99,49.99,49.97,50.01,49.97
47,11:45,49.99,50.01,50.03,50.01,50.04,50.0,49.97,50.06,50.1,50.01,49.94,49.96,49.99,50.02,49.91,50.01,50.01,50.02,50.0,50.03,49.94,50.06,49.95,49.94,50.0,50.0,50.01,49.95
48,12:00,49.98,50.01,49.93,49.99,50.01,50.01,49.97,50.0,50.08,50.01,49.86,49.95,49.99,50.0,49.95,49.99,50.01,50.01,49.96,50.02,49.95,50.12,49.99,49.96,49.99,49.97,50.03,49.92
49,12:15,49.94,50.02,49.96,49.99,50.07,50.02,50.03,50.01,50.02,50.01,49.78,49.89,50.0,50.02,49.95,49.98,49.99,49.99,49.89,49.98,49.9,50.04,49.97,49.9,50.0,49.98,50.0,49.85
50,12:30,49.99,49.98,49.99,50.0,50.04,50.03,49.99,49.93,50.01,49.96,49.91,49.92,49.98,50.01,49.97,49.99,50.0,50.0,49.94,49.97,49.89,50.02,49.98,49.96,50.01,50.01,49.92,49.97
51,12:45,49.98,50.02,49.99,50.02,50.02,50.04,50.01,49.98,50.03,50.0,49.99,50.01,49.97,50.01,49.99,50.02,50.0,50.0,50.0,49.99,49.92,50.01,50.01,49.96,50.02,50.02,50.0,50.0
52,13:00,50.0,50.04,49.98,50.06,50.07,50.05,50.0,50.01,50.05,50.01,50.05,50.04,49.92,50.05,50.01,50.01,50.05,50.02,50.04,49.99,50.03,50.02,50.03,49.98,50.09,50.09,50.02,50.0
53,13:15,50.02,50.02,50.0,50.0,50.05,50.06,50.03,50.02,50.06,50.02,50.04,50.0,49.98,50.03,49.98,50.03,50.02,50.03,50.03,50.03,50.03,50.03,50.0,50.01,50.08,50.04,50.01,50.02
54,13:30,49.99,50.01,49.93,49.96,50.0,50.05,49.99,50.0,50.01,49.98,50.07,49.96,50.0,50.02,49.93,50.0,49.97,50.0,50.01,50.02,49.95,50.0,49.99,49.96,50.05,50.0,50.0,50.01
55,13:45,50.03,50.0,49.9,49.97,50.01,50.04,50.0,50.01,50.01,50.01,50.02,49.98,50.04,50.03,49.94,50.02,50.0,50.0,50.01,50.05,49.93,50.01,50.0,49.99,50.03,49.98,50.05,50.0
56,14:00,49.99,49.96,49.95,49.99,49.99,50.05,49.92,49.97,49.97,50.0,50.01,49.97,50.07,49.97,49.91,50.01,49.97,49.98,49.99,50.1,49.92,50.03,49.97,50.0,50.04,49.95,50.04,49.97
